ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2015,2015,0,Total,67955,12777.0,"Census Tract 1026, Kings County, NY",14000US36047102600,36047102600,NYC
2015,2015,0,Total,82891,13828.0,"Census Tract 168, Kings County, NY",14000US36047016800,36047016800,NYC
2015,2015,0,Total,66528,24493.0,"Census Tract 47, Richmond County, NY",14000US36085004700,36085004700,NYC
2015,2015,0,Total,53409,9751.0,"Census Tract 470, Queens County, NY",14000US36081047000,36081047000,NYC
2015,2015,0,Total,44260,5147.0,"Census Tract 416, Kings County, NY",14000US36047041600,36047041600,NYC
2015,2015,0,Total,62216,14720.0,"Census Tract 1028, Kings County, NY",14000US36047102800,36047102800,NYC
2015,2015,0,Total,77045,10438.0,"Census Tract 158, Bronx County, NY",14000US36005015800,36005015800,NYC
2015,2015,0,Total,77729,15365.000000000002,"Census Tract 697.02, Queens County, NY",14000US36081069702,36081069702,NYC
2015,2015,0,Total,52639,11138.0,"Census Tract 102, Queens County, NY",14000US36081010200,36081010200,NYC
2015,2015,0,Total,88333,27062.000000000004,"Census Tract 1409.01, Queens County, NY",14000US36081140901,36081140901,NYC
2015,2015,0,Total,18158,10181.0,"Census Tract 1034, Kings County, NY",14000US36047103400,36047103400,NYC
2015,2015,0,Total,78504,10551.0,"Census Tract 169, Kings County, NY",14000US36047016900,36047016900,NYC
2015,2015,0,Total,22022,9891.0,"Census Tract 417, Kings County, NY",14000US36047041700,36047041700,NYC
2015,2015,0,Total,61563,15252.0,"Census Tract 286, Bronx County, NY",14000US36005028600,36005028600,NYC
2015,2015,0,Total,61293,13194.0,"Census Tract 101, Queens County, NY",14000US36081010100,36081010100,NYC
2015,2015,0,Total,25276,5419.0,"Census Tract 1058.01, Kings County, NY",14000US36047105801,36047105801,NYC
2015,2015,0,Total,36768,8852.0,"Census Tract 421, Bronx County, NY",14000US36005042100,36005042100,NYC
2015,2015,0,Total,45048,5197.0,"Census Tract 469, Queens County, NY",14000US36081046900,36081046900,NYC
2015,2015,0,Total,41487,5816.0,"Census Tract 216.02, Bronx County, NY",14000US36005021602,36005021602,NYC
2015,2015,0,Total,33056,8662.0,"Census Tract 418, Kings County, NY",14000US36047041800,36047041800,NYC
2015,2015,0,Total,27649,9063.0,"Census Tract 1058.04, Kings County, NY",14000US36047105804,36047105804,NYC
2015,2015,0,Total,55023,10625.0,"Census Tract 697.01, Queens County, NY",14000US36081069701,36081069701,NYC
2015,2015,0,Total,72875,15046.000000000002,"Census Tract 170, Kings County, NY",14000US36047017000,36047017000,NYC
2015,2015,0,Total,66696,24068.0,"Census Tract 100, Queens County, NY",14000US36081010000,36081010000,NYC
2015,2015,0,Total,38011,8592.0,"Census Tract 173, Richmond County, NY",14000US36085017300,36085017300,NYC
2015,2015,0,Total,77768,18588.0,"Census Tract 1070, Kings County, NY",14000US36047107000,36047107000,NYC
2015,2015,0,Total,42089,8676.0,"Census Tract 468, Queens County, NY",14000US36081046800,36081046800,NYC
2015,2015,0,Total,35877,5821.0,"Census Tract 419, Kings County, NY",14000US36047041900,36047041900,NYC
2015,2015,0,Total,59544,9089.0,"Census Tract 1008.02, Queens County, NY",14000US36081100802,36081100802,NYC
2015,2015,0,Total,50114,20520.0,"Census Tract 98, Queens County, NY",14000US36081009800,36081009800,NYC
2015,2015,0,Total,59455,3877.0,"Census Tract 1078, Kings County, NY",14000US36047107800,36047107800,NYC
2015,2015,0,Total,91782,18329.0,"Census Tract 208.03, Richmond County, NY",14000US36085020803,36085020803,NYC
2015,2015,0,Total,51701,4007.0000000000014,"Census Tract 422, Bronx County, NY",14000US36005042200,36005042200,NYC
2015,2015,0,Total,108384,10548.0,"Census Tract 171, Kings County, NY",14000US36047017100,36047017100,NYC
2015,2015,0,Total,42969,11571.0,"Census Tract 420, Kings County, NY",14000US36047042000,36047042000,NYC
2015,2015,0,Total,43664,12355.0,"Census Tract 1098, Kings County, NY",14000US36047109800,36047109800,NYC
2015,2015,0,Total,57438,12832.0,"Census Tract 98, Bronx County, NY",14000US36005009800,36005009800,NYC
2015,2015,0,Total,51692,5836.0,"Census Tract 287, Bronx County, NY",14000US36005028700,36005028700,NYC
2015,2015,0,Total,78319,14231.0,"Census Tract 97, Queens County, NY",14000US36081009700,36081009700,NYC
2015,2015,0,Total,34214,9427.0,"Census Tract 467, Queens County, NY",14000US36081046700,36081046700,NYC
2015,2015,0,Total,44063,19001.0,"Census Tract 1104, Kings County, NY",14000US36047110400,36047110400,NYC
2015,2015,0,Total,54309,14610.0,"Census Tract 695, Queens County, NY",14000US36081069500,36081069500,NYC
2015,2015,0,Total,34362,9773.0,"Census Tract 421, Kings County, NY",14000US36047042100,36047042100,NYC
2015,2015,0,Total,42148,7089.0,"Census Tract 40, Richmond County, NY",14000US36085004000,36085004000,NYC
2015,2015,0,Total,73533,11619.0,"Census Tract 96, Queens County, NY",14000US36081009600,36081009600,NYC
2015,2015,0,Total,24564,5588.0,"Census Tract 1106, Kings County, NY",14000US36047110600,36047110600,NYC
2015,2015,0,Total,70125,34416.0,"Census Tract 172, Kings County, NY",14000US36047017200,36047017200,NYC
2015,2015,0,Total,75800,24686.0,"Census Tract 1008.01, Queens County, NY",14000US36081100801,36081100801,NYC
2015,2015,0,Total,52477,11205.0,"Census Tract 466, Queens County, NY",14000US36081046600,36081046600,NYC
2015,2015,0,Total,68382,20475.0,"Census Tract 422, Kings County, NY",14000US36047042200,36047042200,NYC
2015,2015,0,Total,16716,3400.0000000000005,"Census Tract 1110, Kings County, NY",14000US36047111000,36047111000,NYC
2015,2015,0,Total,31786,7727.0,"Census Tract 423, Bronx County, NY",14000US36005042300,36005042300,NYC
2015,2015,0,Total,22721,5837.0,"Census Tract 217, Bronx County, NY",14000US36005021700,36005021700,NYC
2015,2015,0,Total,60960,6288.0,"Census Tract 95, Queens County, NY",14000US36081009500,36081009500,NYC
2015,2015,0,Total,80598,9359.0,"Census Tract 694, Queens County, NY",14000US36081069400,36081069400,NYC
2015,2015,0,Total,36175,6860.000000000001,"Census Tract 1116, Kings County, NY",14000US36047111600,36047111600,NYC
2015,2015,0,Total,72692,18043.0,"Census Tract 174, Kings County, NY",14000US36047017400,36047017400,NYC
2015,2015,0,Total,51083,24847.0,"Census Tract 423, Kings County, NY",14000US36047042300,36047042300,NYC
2015,2015,0,Total,76200,11165.0,"Census Tract 1403, Queens County, NY",14000US36081140300,36081140300,NYC
2015,2015,0,Total,51458,5345.0,"Census Tract 94, Queens County, NY",14000US36081009400,36081009400,NYC
