Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2474,36103123702,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1898,-0.023318624,0.04070463,0.052144628,0.007821386999999999,Moderate,High,Moderate,Moderate,41,71,55,54,Low,Moderate,High,Moderate,37,55,62,57,Low,Moderate,Moderate,Moderate,34,52,59,53,2015,2015,0,Total,62821,12383.0,"Census Tract 1237.02, Suffolk County, NY",14000US36103123702,36103123702,LI
2475,36103123801,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,485,-0.0020929000000000004,0.016828043,-0.019396588,-0.0006980039999999999,Moderate,Moderate,Moderate,Moderate,53,47,41,44,Moderate,Low,Moderate,Moderate,49,21,50,48,Moderate,Low,Moderate,Moderate,42,22,48,46,2015,2015,0,Total,81071,11520.0,"Census Tract 1238.01, Suffolk County, NY",14000US36103123801,36103123801,LI
2476,36103123802,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,537,0.008094391999999999,0.037657231,0.027664226,0.008121169000000001,Moderate,High,Moderate,Moderate,59,68,50,55,Moderate,Moderate,Moderate,Moderate,54,50,58,57,Moderate,Moderate,Moderate,Moderate,46,48,55,53,2015,2015,0,Total,64250,17258.0,"Census Tract 1238.02, Suffolk County, NY",14000US36103123802,36103123802,LI
2477,36103123900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1128,0.021849962,0.050389577000000005,0.12860963,0.02274395,High,Very High,High,High,66,81,71,72,High,High,High,High,61,70,75,72,Moderate,High,High,High,52,66,72,66,2015,2015,0,Total,73750,13504.0,"Census Tract 1239, Suffolk County, NY",14000US36103123900,36103123900,LI
2478,36103124001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1050,0.015796069,0.045467402999999997,0.13554019,0.022357436,High,High,High,High,63,76,73,72,Moderate,High,High,High,58,63,76,72,Moderate,Moderate,High,High,50,59,74,65,2015,2015,0,Total,85521,11942.0,"Census Tract 1240.01, Suffolk County, NY",14000US36103124001,36103124001,LI
2479,36103124002,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,701,0.019280557,0.040091485,0.15109748,0.023981072000000003,High,High,High,High,64,71,76,73,Moderate,Moderate,High,High,60,54,80,73,Moderate,Moderate,High,High,51,52,77,67,2015,2015,0,Total,83750,16995.0,"Census Tract 1240.02, Suffolk County, NY",14000US36103124002,36103124002,LI
2480,36103124101,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,956,0.00334951,0.027766719,0.074461229,0.011990057,Moderate,Moderate,Moderate,Moderate,56,58,60,59,Moderate,Low,High,High,51,36,66,61,Moderate,Low,High,Moderate,44,35,62,56,2015,2015,0,Total,91750,10093.0,"Census Tract 1241.01, Suffolk County, NY",14000US36103124101,36103124101,LI
2481,36103124102,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,561,0.015537549,0.016735772,0.050905518,0.009422528000000001,High,Moderate,Moderate,Moderate,63,47,55,56,Moderate,Low,High,Moderate,58,21,62,59,Moderate,Low,Moderate,Moderate,50,22,58,55,2015,2015,0,Total,88971,16305.0,"Census Tract 1241.02, Suffolk County, NY",14000US36103124102,36103124102,LI
2482,36103124200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,738,0.019196599999999998,0.036950647999999996,0.15208170000000001,0.023752121,High,High,High,High,64,68,76,73,Moderate,Moderate,High,High,60,49,80,73,Moderate,Moderate,High,High,51,47,77,67,2015,2015,0,Total,81154,13123.0,"Census Tract 1242, Suffolk County, NY",14000US36103124200,36103124200,LI
2483,36103124300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,950,0.035216179,0.061129797,0.11896511,0.024242127000000002,High,Very High,High,High,72,90,69,74,High,Very High,High,High,67,85,73,73,Moderate,High,High,High,58,80,70,67,2015,2015,0,Total,71038,7921.0,"Census Tract 1243, Suffolk County, NY",14000US36103124300,36103124300,LI
