Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
1112,36059302600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,438,0.055611197,0.058427624000000004,0.208581,0.036638174,High,Very High,Very High,Very High,79,88,87,86,High,Very High,Very High,Very High,76,82,90,87,High,High,Very High,Very High,67,77,89,82,2015,2015,0,Total,108565,12597.0,"Census Tract 3026, Nassau County, NY",14000US36059302600,36059302600,LI
1113,36059302700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,873,0.11071724,0.071025863,0.09328085900000001,0.030653249,Very High,Very High,High,High,92,95,64,80,Very High,Very High,High,High,91,93,69,80,Very High,Very High,High,High,84,90,66,74,2015,2015,0,Total,91563,12995.0,"Census Tract 3027, Nassau County, NY",14000US36059302700,36059302700,LI
1114,36059302800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1416,0.12332664,0.07369741099999999,0.20379786,0.045192655,Very High,Very High,Very High,Very High,94,96,86,93,Very High,Very High,Very High,Very High,92,95,89,93,Very High,Very High,Very High,Very High,87,93,88,91,2015,2015,0,Total,116731,22615.0,"Census Tract 3028, Nassau County, NY",14000US36059302800,36059302800,LI
1115,36059302900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,878,0.13767941,0.095352992,0.24322632,0.053672085999999994,Very High,Very High,Very High,Very High,96,100,92,98,Very High,Very High,Very High,Very High,94,100,94,98,Very High,Very High,Very High,Very High,89,100,95,97,2015,2015,0,Total,113947,16060.0,"Census Tract 3029, Nassau County, NY",14000US36059302900,36059302900,LI
1116,36059303000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1277,0.14300402,0.078148514,0.22715691,0.050560060999999996,Very High,Very High,Very High,Very High,97,98,90,96,Very High,Very High,Very High,Very High,94,97,92,96,Very High,Very High,Very High,Very High,90,96,93,95,2015,2015,0,Total,100995,12357.0,"Census Tract 3030, Nassau County, NY",14000US36059303000,36059303000,LI
1117,36059303101,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,767,0.18805115,0.081117123,0.25248092,0.058803155999999995,Very High,Very High,Very High,Very High,100,98,94,99,Very High,Very High,Very High,Very High,99,99,95,99,Very High,Very High,Very High,Very High,97,97,96,99,2015,2015,0,Total,121759,15569.999999999998,"Census Tract 3031.01, Nassau County, NY",14000US36059303101,36059303101,LI
1118,36059303102,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,855,0.1942355,0.063396938,0.13653629,0.044108617999999995,Very High,Very High,High,Very High,100,91,73,92,Very High,Very High,High,Very High,99,87,77,93,Very High,Very High,High,Very High,98,83,74,90,2015,2015,0,Total,127734,21769.0,"Census Tract 3031.02, Nassau County, NY",14000US36059303102,36059303102,LI
1119,36059303201,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,969,0.16707888,0.089251019,0.12394968,0.042392597000000004,Very High,Very High,High,Very High,99,100,70,91,Very High,Very High,High,Very High,96,100,74,92,Very High,Very High,High,Very High,94,100,71,88,2015,2015,0,Total,109350,12010.0,"Census Tract 3032.01, Nassau County, NY",14000US36059303201,36059303201,LI
1120,36059303202,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,732,0.15122992,0.06322208,0.14278571,0.040062767,Very High,Very High,High,Very High,97,91,74,89,Very High,Very High,High,Very High,95,87,78,90,Very High,Very High,High,Very High,92,83,75,86,2015,2015,0,Total,91375,9925.0,"Census Tract 3032.02, Nassau County, NY",14000US36059303202,36059303202,LI
1121,36059303301,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,713,0.19833925,0.071955793,0.18508017,0.051122174000000006,Very High,Very High,Very High,Very High,100,96,83,97,Very High,Very High,Very High,Very High,100,94,86,97,Very High,Very High,Very High,Very High,98,91,84,95,2015,2015,0,Total,116607,24061.0,"Census Tract 3033.01, Nassau County, NY",14000US36059303301,36059303301,LI
