,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1627,36061027700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1324,-0.074116789,0.036776658,-0.42800325,-0.054088421,Very Low,High,Very Low,Very Low,14,67,3,5,Very Low,Moderate,Very Low,Very Low,17,49,9,10,Very Low,Moderate,Very Low,Very Low,17,47,8,9
1628,36061027900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2301,-0.030642787,0.024254011,-0.26653135,-0.031823788,Low,Moderate,Very Low,Very Low,36,54,10,15,Low,Low,Very Low,Low,34,31,19,22,Low,Low,Very Low,Very Low,32,31,18,20
1629,36061028100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,550,0.068393104,0.068380125,0.15478301,0.032849699,Very High,Very High,High,Very High,83,94,77,82,Very High,Very High,High,Very High,81,91,80,82,High,Very High,High,High,72,88,78,77
1630,36061028300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1035,-0.038737703,0.028309893,-0.15286165,-0.019059168,Low,Moderate,Very Low,Low,31,59,20,25,Low,Low,Low,Low,30,37,31,30,Low,Low,Low,Low,29,36,30,30
1631,36061028500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1650,-0.042757567,0.029944446,-0.30385488,-0.036901064,Low,Moderate,Very Low,Very Low,29,60,7,12,Low,Low,Very Low,Very Low,29,39,17,19,Low,Low,Very Low,Very Low,28,38,15,18
1632,36061028700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,642,-0.022851201,0.03660924,-0.20810422,-0.022848425,Moderate,High,Very Low,Low,41,67,14,22,Low,Moderate,Low,Low,38,49,24,28,Low,Moderate,Low,Low,35,47,23,27
1633,36061029100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2702,-0.064629093,0.025588807,-0.38967401,-0.049769502,Very Low,Moderate,Very Low,Very Low,18,56,4,7,Very Low,Low,Very Low,Very Low,20,32,12,13,Low,Low,Very Low,Very Low,21,32,10,11
1634,36061029300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2035,-0.062846258,0.038080398,-0.32145828,-0.04030481,Very Low,High,Very Low,Very Low,18,69,7,10,Low,Moderate,Very Low,Very Low,21,51,16,17,Low,Moderate,Very Low,Very Low,21,49,14,16
1635,36061029500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1178,-0.017035533,0.035143685,-0.10612479,-0.01049385,Moderate,High,Low,Low,45,66,26,33,Moderate,Moderate,Low,Low,41,47,37,39,Low,Moderate,Low,Low,37,45,36,38
1636,36061029900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1015,-0.08870706,0.051158451,-0.57837576,-0.071670324,Very Low,Very High,Very Low,Very Low,9,81,1,2,Very Low,High,Very Low,Very Low,11,71,3,4,Very Low,High,Very Low,Very Low,12,67,3,3
1637,36061030300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1198,-0.055164181,0.063144863,-0.15144423,-0.017003616,Low,Very High,Very Low,Low,22,91,20,27,Low,Very High,Low,Low,24,87,31,32,Low,Very High,Low,Low,24,82,30,32
1638,36061030700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,517,-0.032424089,0.049005043,0.063917838,0.009068012,Low,High,Moderate,Moderate,35,79,58,56,Low,High,High,Moderate,33,68,64,58,Low,High,Moderate,Moderate,31,64,60,54
1639,36061030900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2476,-0.072593011,0.045161773,-0.40442449,-0.050283827,Very Low,High,Very Low,Very Low,14,76,4,6,Very Low,High,Very Low,Very Low,17,62,11,12,Very Low,Moderate,Very Low,Very Low,18,59,9,11
1640,36061031703,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1677,0.176926,0.048255712,0.28154594,0.057458926,Very High,High,Very High,Very High,99,79,97,99,Very High,High,Very High,Very High,98,67,98,99,Very High,High,Very High,Very High,96,63,98,99
1641,36061031704,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,2091,0.16651268,0.069664329,0.28493255,0.058979783,Very High,Very High,Very High,Very High,98,95,97,99,Very High,Very High,Very High,Very High,96,92,98,99,Very High,Very High,Very High,Very High,94,89,99,99
